ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
MSFT.OQ,Systems Software,Information Technology,Systems Software,-0.039718,0.6962,False,0.5356,99
ATO.N,Gas Utilities,Utilities,Gas Utilities,-0.039571,0.6919,False,0.3082,99
VZ.N,Integrated Telecommunication Services,Communication Services,Integrated Telecommunication Services,-0.039463,0.7614,False,0.1997,99
HST.OQ,Hotel & Resort REITs,Real Estate,Hotel & Resort REITs,-0.038667,0.7877,False,0.508,99
KO.N,Soft Drinks & Non-alcoholic Beverages,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,-0.038011,0.7149,False,0.2466,99
ADP.OQ,Human Resource & Employment Services,Industrials,Human Resource & Employment Services,-0.037548,0.769,False,0.4147,99
KR.N,Food Retail,Consumer Staples,Food Retail,-0.037249,0.8138,False,0.1002,99
WM.N,Environmental & Facilities Services,Industrials,Environmental & Facilities Services,-0.036874,0.7535,False,0.3767,99
COF.N,Consumer Finance,Financials,Consumer Finance,-0.034676,0.8384,False,0.516,99
RVTY.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.033625,0.8535,False,0.4009,99
ACN.N,IT Consulting & Other Services,Information Technology,IT Consulting & Other Services,-0.032777,0.8095,False,0.5908,99
IQV.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.030156,0.8661,False,0.5011,99
NXPI.OQ,Semiconductors,Information Technology,Semiconductors,-0.029852,0.8725,False,0.5362,99
CHTR.OQ,Cable & Satellite,Communication Services,Cable & Satellite,-0.029417,0.9053,False,0.2878,99
EIX.N,Electric Utilities,Utilities,Electric Utilities,-0.028303,0.843,False,0.1712,99
MCK.N,Health Care Distributors,Health Care,Health Care Distributors,-0.027474,0.8515,False,0.1959,99
DELL.N,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",-0.025963,0.9143,False,0.2242,99
BFb.N,Distillers & Vintners,Consumer Staples,Distillers & Vintners,-0.02359,0.8778,False,0.1929,99
TGT.N,Consumer Staples Merchandise Retail,Consumer Staples,Consumer Staples Merchandise Retail,-0.023257,0.9233,False,0.2731,99
DOC.N,Health Care REITs,Real Estate,Health Care REITs,-0.02305,0.8789,False,0.309,99
BIIB.OQ,Biotechnology,Health Care,Biotechnology,-0.022519,0.9282,False,0.048,99
D.N,Multi-Utilities,Utilities,Multi-Utilities,-0.021904,0.8796,False,0.2263,99
LDOS.N,Research & Consulting Services,Industrials,Research & Consulting Services,-0.020922,0.9013,False,0.2268,99
GDDY.N,Internet Services & Infrastructure,Information Technology,Internet Services & Infrastructure,-0.020399,0.907,False,0.2837,99
BKNG.OQ,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.019671,0.8794,False,0.4855,99
PWR.N,Construction & Engineering,Industrials,Construction & Engineering,-0.017489,0.9011,False,0.3915,99
XOM.N,Integrated Oil & Gas,Energy,Integrated Oil & Gas,-0.017269,0.9363,False,0.3157,99
C.N,Diversified Banks,Financials,Diversified Banks,-0.015976,0.9144,False,0.6117,99
TROW.OQ,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.015918,0.8889,False,0.686,99
J.N,Research & Consulting Services,Industrials,Research & Consulting Services,-0.015913,0.8906,False,0.3776,99
